"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"Rua Parnaíba,""Campo Limpo "",""Feira de Santana/BA"",""44032-038"""
"Rua Parque Antártica,""Parque Ipé "",""Feira de Santana/BA"",""44054-682"""
"Rua Pau Brasil,""Calumbi "",""Feira de Santana/BA"",""44009-744"""
"Rua Pau Ferro,""Aviário "",""Feira de Santana/BA"",""44095-054"""
"Rua Pau Pombo,""Aviário "",""Feira de Santana/BA"",""44095-050"""
"Rua Pau Pombo,""35º BI "",""Feira de Santana/BA"",""44094-846"""
"Rua Paulo VI,""Queimadinha "",""Feira de Santana/BA"",""44050-162"""
"Rua Pedregulho,""Mangabeira "",""Feira de Santana/BA"",""44056-404"""
"Rua Pedro Suzart - até 328/329,""Serraria Brasil "",""Feira de Santana/BA"",""44003-342"""
"Rua Peixe,""Aviário "",""Feira de Santana/BA"",""44095-012"""
"Rua Peroba,""Calumbi "",""Feira de Santana/BA"",""44009-742"""
"Rua Pescador,""Serraria Brasil "",""Feira de Santana/BA"",""44003-372"""
"Rua Piacatu,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-368"""
"Rua Pilar do Sul,""Brasília "",""Feira de Santana/BA"",""44088-606"""
"Rua Piranguinha (Lot N Morada),""Asa Branca "",""Feira de Santana/BA"",""44044-500"""
"Rua Pires,""Aviário "",""Feira de Santana/BA"",""44095-028"""
"Rua Pires do Rio (Lot N Morada),""Asa Branca "",""Feira de Santana/BA"",""44044-495"""
"Rua Pontagrossense,""Parque Ipé "",""Feira de Santana/BA"",""44054-614"""
"Rua Ponte Preta,""Parque Ipé "",""Feira de Santana/BA"",""44054-666"""
"Rua Portela,""Mangabeira "",""Feira de Santana/BA"",""44056-376"""
"Rua Portelândia,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-440"""
"Rua Porto Afonso,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-448"""
"Rua Porto Alegre,""Calumbi "",""Feira de Santana/BA"",""44009-054"""
"Rua Porto Amazonas,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-452"""
"Rua Porto Artur,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-456"""
"Rua Porto Belo,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-484"""
"Rua Porto Brilhante,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-480"""
"Rua Porto Calvo,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-500"""
"Rua Porto Camargo,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-508"""
"Rua Porto da Cruz,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-376"""
"Rua Porto Vitória,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-372"""
"Rua Portuguesa de Desportos - de 347/348 ao fim,""Parque Ipé "",""Feira de Santana/BA"",""44054-552"""
"Rua Primavera,""Campo Limpo "",""Feira de Santana/BA"",""44032-042"""
"Rua Professor Laudelino Pedreira,""35º BI "",""Feira de Santana/BA"",""44094-742"""
"Rua Professor Osvaldo Sales,""35º BI "",""Feira de Santana/BA"",""44094-746"""
"Rua Professora Alcina Dantas,""Queimadinha "",""Feira de Santana/BA"",""44050-182"""
"Rua Professora Maria da Glõria,""Gabriela "",""Feira de Santana/BA"",""44028-502"""
"Rua Professora Zulmira Daltro,""35º BI "",""Feira de Santana/BA"",""44094-710"""
"Rua Q (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-390"""
"Rua Quatorze (Cj Arco Íris),""Gabriela "",""Feira de Santana/BA"",""44028-523"""
"Rua Quatro (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-370"""
"Rua Quintino Bocaiúva - de 335 ao fim - lado ímpar,""Ponto Central "",""Feira de Santana/BA"",""44075-002"""
"Rua Quinze (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-424"""
"Rua Quito,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-680"""
"Rua R (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-318"""
"Rua R (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-065"""
"Rua Rafaína,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-500"""
"Rua Raimundo Abreu,""Gabriela "",""Feira de Santana/BA"",""44028-490"""
"Rua Raimundo Almeida,""Gabriela "",""Feira de Santana/BA"",""44028-508"""
"Rua Raio do Sol,""Brasília "",""Feira de Santana/BA"",""44088-600"""
"Rua Reginaldo Muritiba do Lago,""Registro "",""Feira de Santana/BA"",""44073-010"""
"Rua Renascer (Lot N Morada),""Asa Branca "",""Feira de Santana/BA"",""44044-507"""
"Rua Retiro de São José,""Mangabeira "",""Feira de Santana/BA"",""44056-236"""
"Rua Riachuelo,""Aviário "",""Feira de Santana/BA"",""44095-042"""
"Rua Ribeiráo,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-480"""
"Rua Ribeirinho,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-470"""
"Rua Ribeiro Gonçalves,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-535"""
"Rua Rio Barra,""Brasília "",""Feira de Santana/BA"",""44088-462"""
"Rua Rio Branco,""Centro "",""Feira de Santana/BA"",""44002-668"""
"Rua Rio de Janeiro,""Asa Branca "",""Feira de Santana/BA"",""44044-358"""
"Rua Rio de Oliveira,""Brasília "",""Feira de Santana/BA"",""44088-421"""
"Rua Rio Duarte,""Brasília "",""Feira de Santana/BA"",""44088-418"""
"Rua Rio Grande,""Queimadinha "",""Feira de Santana/BA"",""44050-174"""
"Rua Rio Itapicuru,""Brasília "",""Feira de Santana/BA"",""44088-432"""
"Rua Rio Jacuípe,""Brasília "",""Feira de Santana/BA"",""44088-419"""
"Rua Rio Pajeú,""Brasília "",""Feira de Santana/BA"",""44088-426"""
"Rua Rio Paraguaçu,""Brasília "",""Feira de Santana/BA"",""44088-444"""
"Rua Rio Paraíso,""Brasília "",""Feira de Santana/BA"",""44088-422"""
"Rua Rio São Lourenço,""Brasília "",""Feira de Santana/BA"",""44088-474"""
"Rua Rio Suzart,""Brasília "",""Feira de Santana/BA"",""44088-420"""
"Rua Rio Tapajõs,""Brasília "",""Feira de Santana/BA"",""44088-438"""
"Rua Rio Tijuca,""Brasília "",""Feira de Santana/BA"",""44088-456"""
"Rua Ripa do Rio Pardo,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-490"""
"Rua Roberto Tourinho,""Gabriela "",""Feira de Santana/BA"",""44028-532"""
"Rua Rodeio,""Brasília "",""Feira de Santana/BA"",""44088-486"""
"Rua Rodolfo Valentim,""Parque Ipé "",""Feira de Santana/BA"",""44054-634"""
"Rua Roraima,""Centro "",""Feira de Santana/BA"",""44002-692"""
"Rua Roseane,""Gabriela "",""Feira de Santana/BA"",""44030-672"""
"Rua S (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-324"""
"Rua S (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-062"""
"Rua Sálvio Magalhães,""Gabriela "",""Feira de Santana/BA"",""44028-499"""
"Rua Sambafo,""Pampalona "",""Feira de Santana/BA"",""44031-030"""
"Rua Santa Catarina,""Asa Branca "",""Feira de Santana/BA"",""44044-365"""
"Rua Santa Cecília,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-584"""
"Rua Santa Efigénia,""Gabriela "",""Feira de Santana/BA"",""44028-484"""
"Rua Santa Efigénia,""Mangabeira "",""Feira de Santana/BA"",""44056-400"""
"Rua Santa Eulália,""Gabriela "",""Feira de Santana/BA"",""44028-481"""
"Rua Santa Luz,""Ponto Central "",""Feira de Santana/BA"",""44075-175"""
"Rua Santa Rita,""Aviário "",""Feira de Santana/BA"",""44096-710"""
"Rua Santa Terezinha,""Aviário "",""Feira de Santana/BA"",""44096-620"""
"Rua Santana,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-559"""
"Rua Santo Amaro,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-048"""
"Rua Santo Amaro,""Gabriela "",""Feira de Santana/BA"",""44030-645"""
"Rua Santo André,""Aviário "",""Feira de Santana/BA"",""44096-686"""
"Rua Santo Antônio,""Aviário "",""Feira de Santana/BA"",""44096-644"""
"Rua São Braz,""Mangabeira "",""Feira de Santana/BA"",""44056-322"""
"Rua São Carlos,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-539"""
"Rua São Cosme,""Mangabeira "",""Feira de Santana/BA"",""44056-402"""
"Rua São Félix,""Aviário "",""Feira de Santana/BA"",""44096-728"""
"Rua São Félix,""Serraria Brasil "",""Feira de Santana/BA"",""44003-288"""
"Rua São Geraldo,""Campo Limpo "",""Feira de Santana/BA"",""44032-011"""
"Rua São João (Eucalipto),""Tomba "",""Feira de Santana/BA"",""44090-040"""
"Rua São Lucas,""Aviário "",""Feira de Santana/BA"",""44096-698"""
"Rua São Luís,""Campo Limpo "",""Feira de Santana/BA"",""44032-046"""
"Rua São Luís,""Centro "",""Feira de Santana/BA"",""44002-640"""
"Rua São Martins,""Queimadinha "",""Feira de Santana/BA"",""44050-126"""
"Rua São Paulo,""Asa Branca "",""Feira de Santana/BA"",""44044-309"""
"Rua São Roque,""Aviário "",""Feira de Santana/BA"",""44096-722"""
"Rua Sarandi,""Mangabeira "",""Feira de Santana/BA"",""44056-312"""
"Rua Seis (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-358"""
"Rua Senador Quintino - até 421 - lado ímpar,""Olhos D'água "",""Feira de Santana/BA"",""44003-677"""
"Rua Senador Quintino - até 440 - lado par,""Serraria Brasil "",""Feira de Santana/BA"",""44003-234"""
"Rua Senador Quintino - de 1326 a 1800 - lado par,""Serraria Brasil "",""Feira de Santana/BA"",""44003-384"""
"Rua Senador Quintino - de 1805 a 2523 - lado ímpar,""Tomba "",""Feira de Santana/BA"",""44090-005"""
"Rua Senador Quintino - de 2525 a 3091 - lado ímpar,""Tomba "",""Feira de Santana/BA"",""44090-001"""
"Rua Senador Quintino - de 442 a 1324 - lado par,""Serraria Brasil "",""Feira de Santana/BA"",""44003-244"""
"Rua Senhor do Bonfim,""Aviário "",""Feira de Santana/BA"",""44096-668"""
"Rua Sérgio de Carvalho,""Parque Ipé "",""Feira de Santana/BA"",""44054-730"""
"Rua Sergipe,""Asa Branca "",""Feira de Santana/BA"",""44044-344"""
"Rua Serra Dourada,""Parque Ipé "",""Feira de Santana/BA"",""44054-658"""
"Rua Serra Talhada,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-072"""
"Rua Sete (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-352"""
"Rua Silva Jardim,""Queimadinha "",""Feira de Santana/BA"",""44050-222"""
"Rua Silva Sá,""Pampalona "",""Feira de Santana/BA"",""44031-422"""
"Rua Simplesmente,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-534"""
"Rua Simpliciano,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-579"""
"Rua Soares,""Aviário "",""Feira de Santana/BA"",""44095-020"""
"Rua Soraia,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-569"""
"Rua Sublime,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-549"""
"Rua Sucupira,""Calumbi "",""Feira de Santana/BA"",""44009-760"""
"Rua T (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-330"""
"Rua Tacima,""Gabriela "",""Feira de Santana/BA"",""44030-505"""
"Rua Taguatinga,""35º BI "",""Feira de Santana/BA"",""44094-646"""
"Rua Tainha,""Gabriela "",""Feira de Santana/BA"",""44030-485"""
"Rua Taiô,""Gabriela "",""Feira de Santana/BA"",""44030-445"""
"Rua Taioba,""Gabriela "",""Feira de Santana/BA"",""44030-452"""
"Rua Taipas,""Gabriela "",""Feira de Santana/BA"",""44030-395"""
"Rua Talobeira,""Gabriela "",""Feira de Santana/BA"",""44030-425"""
"Rua Tangará,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-503"""
"Rua Taquari,""Tomba "",""Feira de Santana/BA"",""44090-012"""
"Rua Tárciso Pimenta Júnior,""Gabriela "",""Feira de Santana/BA"",""44028-541"""
"Rua Tijuca,""Mangabeira "",""Feira de Santana/BA"",""44056-588"""
"Rua Tijuca,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-705"""
"Rua Tijuca do Sul,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-692"""
"Rua Timon,""Pampalona "",""Feira de Santana/BA"",""44031-545"""
"Rua Tomé de Souza - de 1025 ao fim - lado ímpar,""Calumbi "",""Feira de Santana/BA"",""44009-005"""
"Rua Tradiçáo,""Gabriela "",""Feira de Santana/BA"",""44030-652"""
"Rua Transbrasil,""Pampalona "",""Feira de Santana/BA"",""44031-425"""
"Rua Três (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-376"""
"Rua Treze (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-412"""
"Rua Tubaráo,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-702"""
"Rua Tuparetama,""Parque Ipé "",""Feira de Santana/BA"",""44054-706"""
"Rua Tuparetama,""35º BI "",""Feira de Santana/BA"",""44094-670"""
"Rua Tupirama,""Parque Ipé "",""Feira de Santana/BA"",""44054-746"""
"Rua Tupirama,""35º BI "",""Feira de Santana/BA"",""44094-664"""
"Rua Tupirantins,""35º BI "",""Feira de Santana/BA"",""44094-652"""
"Rua Tutóia,""Parque Ipé "",""Feira de Santana/BA"",""44054-674"""
"Rua U (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-336"""
"Rua Um,""Pampalona "",""Feira de Santana/BA"",""44031-035"""
"Rua Um (Cj Arco Íris),""Gabriela "",""Feira de Santana/BA"",""44028-547"""
"Rua Um (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-388"""
"Rua Umbuzeiro,""Calumbi "",""Feira de Santana/BA"",""44009-774"""
"Rua União dos Bandeirantes,""Parque Ipé "",""Feira de Santana/BA"",""44054-610"""
"Rua Uruguai,""Queimadinha "",""Feira de Santana/BA"",""44050-096"""
"Rua Uruguaiana,""Ponto Central "",""Feira de Santana/BA"",""44075-065"""
"Rua Utinga,""Mangabeira "",""Feira de Santana/BA"",""44056-420"""
"Rua U-1 (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-342"""
"Rua Valparaíso,""Parque Ipé "",""Feira de Santana/BA"",""44054-762"""
"Rua Varig - lado ímpar,""Pampalona "",""Feira de Santana/BA"",""44031-430"""
"Rua Varzelândia,""Parque Ipé "",""Feira de Santana/BA"",""44054-758"""
"Rua Varzinha,""Parque Ipé "",""Feira de Santana/BA"",""44054-698"""
"Rua Vasco Filho - de 621/622 ao fim,""Serraria Brasil "",""Feira de Santana/BA"",""44003-246"""
"Rua Vazante,""Campo Limpo "",""Feira de Santana/BA"",""44032-023"""
"Rua Vereador Demõcrito de Lima Soares,""Centro "",""Feira de Santana/BA"",""44002-740"""
"Rua Vertente,""Parque Ipé "",""Feira de Santana/BA"",""44054-760"""
"Rua Vila Nazaré,""Ponto Central "",""Feira de Santana/BA"",""44075-147"""
"Rua Visconde de Cairu,""Ponto Central "",""Feira de Santana/BA"",""44075-135"""
"Rua Visconde do Rio Branco - de 774 ao fim - lado par,""Queimadinha "",""Feira de Santana/BA"",""44050-002"""
"Rua Vitória,""Campo Limpo "",""Feira de Santana/BA"",""44032-056"""
"Rua Viva,""Aviário "",""Feira de Santana/BA"",""44095-014"""
"Rua Vivaldo Moreira de Oliveira,""35º BI "",""Feira de Santana/BA"",""44094-738"""
"Rua V1 (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-338"""
"Rua W (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-380"""
"Rua Wenceslau Braz - até 137/138,""Queimadinha "",""Feira de Santana/BA"",""44050-018"""
"Rua Wenceslau Braz - de 139/140 ao fim,""Queimadinha "",""Feira de Santana/BA"",""44050-042"""
"Rua X (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-372"""
"Rua X-1 (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-354"""
"Rua Y (Cj Aviário),""Aviário "",""Feira de Santana/BA"",""44096-378"""
"Rua 2 de Agosto,""Queimadinha "",""Feira de Santana/BA"",""44050-152"""
"Rua 2 de Julho,""Serraria Brasil "",""Feira de Santana/BA"",""44003-216"""
"Rua 29 de Janeiro,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-144"""
"Rua 7 de Setembro - até 400 - lado par,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-064"""
"Travessa águia,""Olhos D'água "",""Feira de Santana/BA"",""44003-670"""
"Travessa Aloísio Resende,""Queimadinha "",""Feira de Santana/BA"",""44050-062"""
"Travessa Américo Vespúcio,""Serraria Brasil "",""Feira de Santana/BA"",""44003-286"""
"Travessa Araçás,""Aviário "",""Feira de Santana/BA"",""44095-142"""
"Travessa Artur Assis,""Queimadinha "",""Feira de Santana/BA"",""44050-048"""
"Travessa Artur Bernardes,""Queimadinha "",""Feira de Santana/BA"",""44050-068"""
"Travessa Assis,""Asa Branca "",""Feira de Santana/BA"",""44044-251"""
"Travessa Boa Esperança,""Limoeiro "",""Feira de Santana/BA"",""44097-000"""
"Travessa Bossoroca,""Brasília "",""Feira de Santana/BA"",""44088-552"""
"Travessa Cachoeirinha,""Aviário "",""Feira de Santana/BA"",""44095-034"""
"Travessa Caravelas,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-120"""
"Travessa Coronel Ponce,""Brasília "",""Feira de Santana/BA"",""44088-510"""
"Travessa Cosmorama,""Mangabeira "",""Feira de Santana/BA"",""44056-704"""
"Travessa Cristianópolis,""Gabriela "",""Feira de Santana/BA"",""44028-414"""
"Travessa Cuiabá,""Centro "",""Feira de Santana/BA"",""44002-688"""
"Travessa Dantas,""Tomba "",""Feira de Santana/BA"",""44090-024"""
"Travessa Desembargador Felinto Bastos,""Centro "",""Feira de Santana/BA"",""44002-756"""
"Travessa Doutor Geraldo Leite,""Serraria Brasil "",""Feira de Santana/BA"",""44003-304"""
"Travessa José Américo,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-464"""
"Travessa Laranjeiras,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-448"""
"Travessa Luiz Portugal,""Aviário "",""Feira de Santana/BA"",""44095-030"""
"Travessa Macapá,""Centro "",""Feira de Santana/BA"",""44002-664"""
"Travessa Maeve Lima Carvalho,""Campo do Gado Novo "",""Feira de Santana/BA"",""44042-526"""
"Travessa Manoel Matias de Azevedo,""Centro "",""Feira de Santana/BA"",""44002-724"""
"Travessa Miláo,""Brasília "",""Feira de Santana/BA"",""44088-618"""
"Travessa Moisés,""Aviário "",""Feira de Santana/BA"",""44095-022"""
"Travessa Palmares,""Pampalona "",""Feira de Santana/BA"",""44031-481"""
"Travessa Pandalha,""Queimadinha "",""Feira de Santana/BA"",""44050-108"""
"Travessa Pedro Suzart,""Serraria Brasil "",""Feira de Santana/BA"",""44003-348"""
"Travessa Pires,""Aviário "",""Feira de Santana/BA"",""44095-026"""
"Travessa Porto Alegre,""Calumbi "",""Feira de Santana/BA"",""44009-058"""
"Travessa Primavera,""Pampalona "",""Feira de Santana/BA"",""44031-522"""
"Travessa Rio Paraguaçu,""Brasília "",""Feira de Santana/BA"",""44088-440"""
"Travessa Rodolfo Valentim,""Parque Ipé "",""Feira de Santana/BA"",""44054-636"""
"Travessa Salinas,""Campo Limpo "",""Feira de Santana/BA"",""44032-014"""
"Travessa Salvador (Eucalipto),""Tomba "",""Feira de Santana/BA"",""44090-036"""
"Travessa Santa Luz,""Ponto Central "",""Feira de Santana/BA"",""44075-177"""
"Travessa Santo Amaro,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-052"""
"Travessa São Luís,""Centro "",""Feira de Santana/BA"",""44002-648"""
"Travessa Senador Quintino,""Olhos D'água "",""Feira de Santana/BA"",""44003-706"""
"Travessa Taipas,""Gabriela "",""Feira de Santana/BA"",""44030-412"""
"Travessa Tupiratins,""35º BI "",""Feira de Santana/BA"",""44094-658"""
"Travessa Uberaba,""Campo Limpo "",""Feira de Santana/BA"",""44032-036"""
"Travessa Valter Carneiro,""Asa Branca "",""Feira de Santana/BA"",""44044-377"""
"Travessa Visconde de Cairu,""Ponto Central "",""Feira de Santana/BA"",""44075-139"""
"Travessa Vitória,""Campo Limpo "",""Feira de Santana/BA"",""44032-058"""
"Travessa 2 de Julho,""Serraria Brasil "",""Feira de Santana/BA"",""44003-222"""
"Travessa 7 de Setembro,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-104"""
"Via Local A (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-086"""
"Via Local C (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-610"""
"Via Local D (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-510"""
"Via Local E (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-550"""
"Via Pedestre 1 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-720"""
"Via Pedestre 1 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-210"""
"Via Pedestre 10 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-310"""
"Via Pedestre 11 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-650"""
"Via Pedestre 11 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-320"""
"Via Pedestre 12 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-640"""
"Via Pedestre 12 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-360"""
"Via Pedestre 13 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-630"""
"Via Pedestre 13 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-370"""
"Via Pedestre 14 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-620"""
"Via Pedestre 14 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-390"""
"Via Pedestre 15 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-420"""
"Via Pedestre 16 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-600"""
"Via Pedestre 16 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-440"""
"Via Pedestre 17 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-580"""
"Via Pedestre 17 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-450"""
"Via Pedestre 18 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-590"""
"Via Pedestre 18 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-460"""
"Via Pedestre 19 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-570"""
"Via Pedestre 19 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-400"""
"Via Pedestre 2 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-700"""
"Via Pedestre 2 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-220"""
"Via Pedestre 20 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-560"""
"Via Pedestre 21 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-548"""
"Via Pedestre 22 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-544"""
"Via Pedestre 23 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-540"""
"Via Pedestre 24 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-530"""
"Via Pedestre 24 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-350"""
"Via Pedestre 25 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-520"""
"Via Pedestre 25 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-560"""
"Via Pedestre 26 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-500"""
"Via Pedestre 26 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-550"""
"Via Pedestre 27 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-490"""
"Via Pedestre 27 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-540"""
"Via Pedestre 28 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-530"""
"Via Pedestre 29 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-480"""
"Via Pedestre 29 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-520"""
"Via Pedestre 3 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-710"""
"Via Pedestre 3 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-230"""
"Via Pedestre 30 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-510"""
"Via Pedestre 31 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-500"""
"Via Pedestre 32 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-430"""
"Via Pedestre 33 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-470"""
"Via Pedestre 34 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-480"""
"Via Pedestre 4 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-690"""
"Via Pedestre 4 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-240"""
"Via Pedestre 5 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-680"""
"Via Pedestre 5 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-250"""
"Via Pedestre 6 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-670"""
"Via Pedestre 6 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-260"""
"Via Pedestre 7 (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-660"""
"Via Pedestre 7 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-270"""
"Via Pedestre 8 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-290"""
"Via Pedestre 9 (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-300"""
"Via Principal A (Viveiros) - até 141/142,""CIS "",""Feira de Santana/BA"",""44013-280"""
"Via Principal B (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-380"""
"Via Principal C (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-330"""
"Via Principal D (Viveiros) - até 103/104,""CIS "",""Feira de Santana/BA"",""44013-490"""
"Via Principal E (Viveiros),""CIS "",""Feira de Santana/BA"",""44013-340"""
"Vila Francisco da Silva,""Queimadinha "",""Feira de Santana/BA"",""44050-038"""
"Vila Isaura,""Serraria Brasil "",""Feira de Santana/BA"",""44003-278"""
"Vila Rica,""Olhos D'água "",""Feira de Santana/BA"",""44003-640"""
"Vila Santa Cruz,""Centro "",""Feira de Santana/BA"",""44002-840"""
"Vila Setenta,""Ponto Central "",""Feira de Santana/BA"",""44075-079"""
"1ª Travessa Amaralina,""Pampalona "",""Feira de Santana/BA"",""44031-615"""
"1ª Travessa Canavieiras,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-088"""
"1ª Travessa das Américas,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-200"""
"1ª Travessa Doutor João Evangelista,""Centro "",""Feira de Santana/BA"",""44002-848"""
"1ª Travessa Francelino Matos,""Serraria Brasil "",""Feira de Santana/BA"",""44003-312"""
"1ª Travessa Ipirá,""Centro "",""Feira de Santana/BA"",""44002-796"""
"1ª Travessa José Paulo da Silva,""Calumbi "",""Feira de Santana/BA"",""44008-860"""
"1ª Travessa Pamponet,""Tomba "",""Feira de Santana/BA"",""44090-020"""
"1ª Travessa Papa João XXIII,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-008"""
"1ª Travessa Quito,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-708"""
