"Logradouro/Nome:,""Bairro/Distrito:"",""Localidade/UF:"",""CEP:"""
"Rua A (Feira IX) - até 119/120,""Calumbi "",""Feira de Santana/BA"",""44009-060"""
"Rua A (Jomafa),""Brasília "",""Feira de Santana/BA"",""44089-284"""
"Rua A (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-105"""
"Rua Abraáo,""Calumbi "",""Feira de Santana/BA"",""44008-840"""
"Rua Acácia,""Calumbi "",""Feira de Santana/BA"",""44009-750"""
"Rua Adalberto Pereira,""Olhos D'água "",""Feira de Santana/BA"",""44003-652"""
"Rua Adaltro Pereira de Souza,""Queimadinha "",""Feira de Santana/BA"",""44050-198"""
"Rua Adáo,""Asa Branca "",""Feira de Santana/BA"",""44046-516"""
"Rua Adenil Falcão - de 1083 a 1345 - lado ímpar,""Brasília "",""Feira de Santana/BA"",""44088-648"""
"Rua Adenil Falcão - de 948 a 1350 - lado par,""Brasília "",""Feira de Santana/BA"",""44088-642"""
"Rua ágata - de 20/21 ao fim,""Brasília "",""Feira de Santana/BA"",""44088-636"""
"Rua Agatuba,""Tomba "",""Feira de Santana/BA"",""44090-052"""
"Rua água Amarela,""Gabriela "",""Feira de Santana/BA"",""44030-282"""
"Rua água Branca,""Gabriela "",""Feira de Santana/BA"",""44030-260"""
"Rua água de Cima,""Gabriela "",""Feira de Santana/BA"",""44030-475"""
"Rua água Doce,""Gabriela "",""Feira de Santana/BA"",""44030-205"""
"Rua água Limpa,""Gabriela "",""Feira de Santana/BA"",""44030-222"""
"Rua água Preta,""Gabriela "",""Feira de Santana/BA"",""44030-232"""
"Rua água Rosa,""Gabriela "",""Feira de Santana/BA"",""44030-455"""
"Rua água Verde - de 450/451 ao fim,""Parque Ipé "",""Feira de Santana/BA"",""44054-570"""
"Rua água Vermelha,""Gabriela "",""Feira de Santana/BA"",""44030-242"""
"Rua águas Belas,""Gabriela "",""Feira de Santana/BA"",""44030-145"""
"Rua águas Claras,""Gabriela "",""Feira de Santana/BA"",""44030-202"""
"Rua Aiuba,""Aviário "",""Feira de Santana/BA"",""44096-608"""
"Rua Alameda,""Parque Ipé "",""Feira de Santana/BA"",""44054-775"""
"Rua Alameda dos Oitis,""Mangabeira "",""Feira de Santana/BA"",""44056-388"""
"Rua Alan Kardec,""Gabriela "",""Feira de Santana/BA"",""44030-565"""
"Rua Albânia,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-744"""
"Rua Alcântara,""Brasília "",""Feira de Santana/BA"",""44088-594"""
"Rua Alcântara,""Mangabeira "",""Feira de Santana/BA"",""44056-368"""
"Rua Alcides Fadiga,""Queimadinha "",""Feira de Santana/BA"",""44050-066"""
"Rua Alexandre Dumas,""Gabriela "",""Feira de Santana/BA"",""44030-770"""
"Rua Alexandre Flemming,""Gabriela "",""Feira de Santana/BA"",""44030-775"""
"Rua Almerim,""Mangabeira "",""Feira de Santana/BA"",""44056-352"""
"Rua Almirante Barroso,""Gabriela "",""Feira de Santana/BA"",""44030-765"""
"Rua Aloísio Resende,""Queimadinha "",""Feira de Santana/BA"",""44050-054"""
"Rua Alpinópolis,""Aviário "",""Feira de Santana/BA"",""44096-578"""
"Rua Altino,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-756"""
"Rua Alto de Santana,""Gabriela "",""Feira de Santana/BA"",""44030-762"""
"Rua Amália Motta Faskomy,""35º BI "",""Feira de Santana/BA"",""44094-722"""
"Rua Amanari,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44072-748"""
"Rua Amaralina - até 1213 - lado ímpar,""Pampalona "",""Feira de Santana/BA"",""44031-645"""
"Rua Amaralina - de 1215 a 2351 - lado ímpar,""Pampalona "",""Feira de Santana/BA"",""44031-585"""
"Rua Amaralina - de 2353 a 2981 - lado ímpar,""Pampalona "",""Feira de Santana/BA"",""44031-475"""
"Rua Amaralina - de 2356 a 3056 - lado par,""Gabriela "",""Feira de Santana/BA"",""44028-408"""
"Rua Amaralina - de 3058 a 3114 - lado par,""Gabriela "",""Feira de Santana/BA"",""44028-416"""
"Rua Amaralina - de 3116 ao fim - lado par,""Gabriela "",""Feira de Santana/BA"",""44030-898"""
"Rua Amaralina - de 3133 ao fim - lado ímpar,""Pampalona "",""Feira de Santana/BA"",""44031-001"""
"Rua América,""Asa Branca "",""Feira de Santana/BA"",""44044-253"""
"Rua Américo Vespúcio,""Serraria Brasil "",""Feira de Santana/BA"",""44003-284"""
"Rua Ana Nery,""Serraria Brasil "",""Feira de Santana/BA"",""44003-378"""
"Rua Angelim,""Calumbi "",""Feira de Santana/BA"",""44009-751"""
"Rua Angelina Borges,""Aviário "",""Feira de Santana/BA"",""44096-716"""
"Rua Angico,""Calumbi "",""Feira de Santana/BA"",""44009-752"""
"Rua Angúera,""Ponto Central "",""Feira de Santana/BA"",""44075-035"""
"Rua Anita Garibaldi,""Gabriela "",""Feira de Santana/BA"",""44030-785"""
"Rua Antenor Moreira Pinho - até 62/63,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-040"""
"Rua Antônio Carlos Machado,""Gabriela "",""Feira de Santana/BA"",""44028-544"""
"Rua Antônio Carlos Madeira Guimarâes,""Gabriela "",""Feira de Santana/BA"",""44028-553"""
"Rua Antonio Motta Freitas (Lot Prq N América),""35º BI "",""Feira de Santana/BA"",""44094-726"""
"Rua Antônio Raimundo Pereira,""Pampalona "",""Feira de Santana/BA"",""44031-582"""
"Rua Antônio Rubens,""Centro "",""Feira de Santana/BA"",""44002-764"""
"Rua Aquidabá,""Pampalona "",""Feira de Santana/BA"",""44031-588"""
"Rua Aracaju,""Centro "",""Feira de Santana/BA"",""44002-608"""
"Rua Araçás,""Aviário "",""Feira de Santana/BA"",""44095-136"""
"Rua Arapuaná,""Asa Branca "",""Feira de Santana/BA"",""44044-254"""
"Rua Araraguara,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-576"""
"Rua Araripe Júnior,""Gabriela "",""Feira de Santana/BA"",""44030-665"""
"Rua Araripina,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-512"""
"Rua Araruana,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-564"""
"Rua Araruna,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-572"""
"Rua Aratiba,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-580"""
"Rua Araticu,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-588"""
"Rua Aratuba,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-584"""
"Rua Araucária,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-592"""
"Rua Araújos,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-596"""
"Rua Arco Verde,""Parque Ipé "",""Feira de Santana/BA"",""44054-560"""
"Rua Arcos,""Pedra Ferrada "",""Feira de Santana/BA"",""44038-600"""
"Rua Armas,""Asa Branca "",""Feira de Santana/BA"",""44044-324"""
"Rua Arnold Silva,""Queimadinha "",""Feira de Santana/BA"",""44050-092"""
"Rua Aroeira,""Asa Branca "",""Feira de Santana/BA"",""44044-319"""
"Rua Aroeira,""Calumbi "",""Feira de Santana/BA"",""44009-762"""
"Rua Arroazes,""Asa Branca "",""Feira de Santana/BA"",""44044-266"""
"Rua Arroio do Meio,""Asa Branca "",""Feira de Santana/BA"",""44044-337"""
"Rua Artur Bernardes,""Queimadinha "",""Feira de Santana/BA"",""44050-072"""
"Rua Artur de Assis - de 340/341 ao fim,""Queimadinha "",""Feira de Santana/BA"",""44050-036"""
"Rua Assailândia,""Asa Branca "",""Feira de Santana/BA"",""44044-398"""
"Rua Assal,""Asa Branca "",""Feira de Santana/BA"",""44044-370"""
"Rua Assis,""Asa Branca "",""Feira de Santana/BA"",""44044-249"""
"Rua Astolfo Dutra,""Asa Branca "",""Feira de Santana/BA"",""44044-391"""
"Rua Astrorga,""Asa Branca "",""Feira de Santana/BA"",""44044-384"""
"Rua Atlético,""Parque Ipé "",""Feira de Santana/BA"",""44054-594"""
"Rua Augusto Lima,""Asa Branca "",""Feira de Santana/BA"",""44044-294"""
"Rua Augusto Severo,""Asa Branca "",""Feira de Santana/BA"",""44044-284"""
"Rua Auriflama,""Mangabeira "",""Feira de Santana/BA"",""44056-688"""
"Rua Aurilândia,""Mangabeira "",""Feira de Santana/BA"",""44056-700"""
"Rua Avaré,""Asa Branca "",""Feira de Santana/BA"",""44044-269"""
"Rua Axixá,""Asa Branca "",""Feira de Santana/BA"",""44044-264"""
"Rua B (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-512"""
"Rua B (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-068"""
"Rua B (Lot Jd das Oliveiras),""Pedra Ferrada "",""Feira de Santana/BA"",""44038-432"""
"Rua B (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-102"""
"Rua Bacelar de Castro - lado par,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-000"""
"Rua Bahia,""Asa Branca "",""Feira de Santana/BA"",""44044-304"""
"Rua Bambu,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-560"""
"Rua Banabuiú,""Mangabeira "",""Feira de Santana/BA"",""44056-392"""
"Rua BANEB,""CIS "",""Feira de Santana/BA"",""44010-820"""
"Rua Baráo de Cotegipe - de 1761/1762 ao fim,""Queimadinha "",""Feira de Santana/BA"",""44050-012"""
"Rua Beiquimáo,""Asa Branca "",""Feira de Santana/BA"",""44044-209"""
"Rua Beira Mar,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-444"""
"Rua Belém,""Centro "",""Feira de Santana/BA"",""44002-700"""
"Rua Belenense,""Parque Ipé "",""Feira de Santana/BA"",""44054-754"""
"Rua Bernardo Torres Coelho,""35º BI "",""Feira de Santana/BA"",""44094-730"""
"Rua Bitânia,""Mangabeira "",""Feira de Santana/BA"",""44056-788"""
"Rua Blumenau,""Asa Branca "",""Feira de Santana/BA"",""44044-204"""
"Rua Boa Esperança,""Aviário "",""Feira de Santana/BA"",""44096-614"""
"Rua Boa Esperança,""Serraria Brasil "",""Feira de Santana/BA"",""44003-390"""
"Rua Boa Vista,""Centro "",""Feira de Santana/BA"",""44002-678"""
"Rua Bogotá,""Asa Branca "",""Feira de Santana/BA"",""44044-184"""
"Rua Boituba,""Brasília "",""Feira de Santana/BA"",""44088-534"""
"Rua Boituva,""Brasília "",""Feira de Santana/BA"",""44088-528"""
"Rua Bom Despacho,""Mangabeira "",""Feira de Santana/BA"",""44056-708"""
"Rua Bom Jesus,""Mangabeira "",""Feira de Santana/BA"",""44056-706"""
"Rua Bom Retiro,""Mangabeira "",""Feira de Santana/BA"",""44056-710"""
"Rua Bondade,""Mangabeira "",""Feira de Santana/BA"",""44057-010"""
"Rua Bonfinópolis,""Mangabeira "",""Feira de Santana/BA"",""44056-702"""
"Rua Borrazópolis,""Mangabeira "",""Feira de Santana/BA"",""44056-692"""
"Rua Bossoroca,""Brasília "",""Feira de Santana/BA"",""44088-540"""
"Rua Botelhos,""Brasília "",""Feira de Santana/BA"",""44088-516"""
"Rua Braço Forte,""Asa Branca "",""Feira de Santana/BA"",""44046-800"""
"Rua Bragança,""Brasília "",""Feira de Santana/BA"",""44088-522"""
"Rua Brasilândia,""Mangabeira "",""Feira de Santana/BA"",""44056-696"""
"Rua Brasília,""Campo Limpo "",""Feira de Santana/BA"",""44032-052"""
"Rua Braúna,""Calumbi "",""Feira de Santana/BA"",""44009-746"""
"Rua C (Cj Renascer),""Parque Ipé "",""Feira de Santana/BA"",""44054-514"""
"Rua C (Cj W Falcão),""Queimadinha "",""Feira de Santana/BA"",""44050-204"""
"Rua C (Feira IX),""Calumbi "",""Feira de Santana/BA"",""44009-096"""
"Rua C (Lot Jd das Oliveiras),""Pedra Ferrada "",""Feira de Santana/BA"",""44038-428"""
"Rua C (Lot Tangará),""Gabriela "",""Feira de Santana/BA"",""44030-075"""
"Rua Cabuçu,""Centro "",""Feira de Santana/BA"",""44002-788"""
"Rua Cachoeira de Goiás,""Aviário "",""Feira de Santana/BA"",""44095-106"""
"Rua Cachoeira do Mato,""Aviário "",""Feira de Santana/BA"",""44095-112"""
"Rua Cachoeira do Sol,""Aviário "",""Feira de Santana/BA"",""44095-118"""
"Rua Cachoeira Paulista,""Aviário "",""Feira de Santana/BA"",""44095-094"""
"Rua Cachoeirinha,""Aviário "",""Feira de Santana/BA"",""44095-036"""
"Rua Cadete do Rítimo,""Centro "",""Feira de Santana/BA"",""44002-834"""
"Rua Cafarnaum,""Mangabeira "",""Feira de Santana/BA"",""44056-419"""
"Rua Cairu,""Serraria Brasil "",""Feira de Santana/BA"",""44003-264"""
"Rua Camamu,""Mangabeira "",""Feira de Santana/BA"",""44056-316"""
"Rua Camaratuba,""Mangabeira "",""Feira de Santana/BA"",""44056-334"""
"Rua Campinorte,""Mangabeira "",""Feira de Santana/BA"",""44056-320"""
"Rua Campo Florido,""Serraria Brasil "",""Feira de Santana/BA"",""44003-366"""
"Rua Campo Grande,""Centro "",""Feira de Santana/BA"",""44002-676"""
"Rua Campo Grande - de 456/457 ao fim,""Parque Ipé "",""Feira de Santana/BA"",""44054-556"""
"Rua Canaá,""Campo Limpo "",""Feira de Santana/BA"",""44032-022"""
"Rua Canavieiras,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-080"""
"Rua Caraíbas - lado par,""Gabriela "",""Feira de Santana/BA"",""44030-545"""
"Rua Caravelas,""Chácara São Cosme "",""Feira de Santana/BA"",""44004-128"""
"Rua Caridade,""Mangabeira "",""Feira de Santana/BA"",""44057-002"""
"Rua Carlos Chagas,""Olhos D'água "",""Feira de Santana/BA"",""44003-646"""
"Rua Carlos Valadares - de 226 a 606 - lado par,""Queimadinha "",""Feira de Santana/BA"",""44050-006"""
"Rua Carlos Valadares - de 608 a 984 - lado par,""Queimadinha "",""Feira de Santana/BA"",""44050-084"""
"Rua Carlos Valadares - de 986 ao fim - lado par,""Queimadinha "",""Feira de Santana/BA"",""44050-192"""
"Rua Carralho,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-510"""
"Rua Casteláo,""Parque Ipé "",""Feira de Santana/BA"",""44054-544"""
"Rua Castro Alves - até 534 - lado par,""Serraria Brasil "",""Feira de Santana/BA"",""44003-198"""
"Rua Castro Alves - até 541 - lado ímpar,""Serraria Brasil "",""Feira de Santana/BA"",""44003-201"""
"Rua Catolé da Rocha,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-520"""
"Rua Catorze (Cj L E Magalhães),""Brasília "",""Feira de Santana/BA"",""44089-418"""
"Rua Caturama,""Santo Antônio dos Prazeres "",""Feira de Santana/BA"",""44071-704"""
